"","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"3254",20027,"Íbúðareign",98.8,0,3,1,160,"Hólar, Berg"
"3255",18764,"Íbúðareign",52.9,0,1,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3256",14379,"Íbúðareign",57.9,0,2,1,284,"Bústaðahverfi"
"3257",19550,"Íbúðareign",72,0,1,1,281,"Réttarholt"
"3258",16769,"Íbúðareign",42.9,0,1,1,90,"Holt/Tún"
"3259",35067,"Parhús",123.8,0,3,1,810,"Mosfellsbær: Teigar, Krikar"
"3260",18989,"Íbúðareign",52,0,1,1,100,"Laugarneshverfi/Vogar"
"3261",15284,"Íbúðareign",51.7,0,1,1,80,"Hlíðar"
"3262",15385,"Íbúðareign",68.1,0,1,1,170,"Neðra-Breiðholt"
"3263",19900,"Íbúðareign",75.2,0,3,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"3264",39476,"Einbýlishús",164.6,0,4,2,281,"Réttarholt"
"3265",26000,"Íbúðareign",98.8,0,3,1,100,"Laugarneshverfi/Vogar"
"3266",17800,"Íbúðareign",94.7,0,3,1,161,"Fell"
"3267",23588,"Íbúðareign",73.9,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3268",36762,"Raðhús",128.8,0,3,1,220,"Selás"
"3269",16331,"Íbúðareign",70,0,2,1,6080,"Akureyri: Giljahverfi"
"3270",18990,"Íbúðareign",60.5,0,2,1,100,"Laugarneshverfi/Vogar"
"3271",20076,"Íbúðareign",120.9,1,4,1,150,"Seljahverfi"
"3272",22993,"Íbúðareign",99.5,0,3,1,100,"Laugarneshverfi/Vogar"
"3273",15277,"Íbúðareign",128,0,2,2,8200,"Vestmannaeyjar"
"3274",30900,"Íbúðareign",112.6,1,3,1,350,"Kópavogur: Hvörf, Þing"
"3275",31229,"Einbýlishús",154,0,4,2,300,"Kópavogur: Vesturbær"
"3276",16354,"Íbúðareign",59.3,0,0,0,91,"Háaleiti/Skeifa"
"3277",46035,"Einbýlishús",262.5,0,8,3,150,"Seljahverfi"
"3278",27678,"Íbúðareign",102.6,0,3,1,100,"Laugarneshverfi/Vogar"
"3279",33864,"Parhús",112.7,0,3,2,810,"Mosfellsbær: Teigar, Krikar"
"3280",17566,"Íbúðareign",52.4,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3281",18587,"Íbúðareign",86.6,0,2,2,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3282",27120,"Íbúðareign",101.7,0,3,1,180,"Grafarholt"
"3283",55926,"Raðhús",170.7,0,4,2,180,"Grafarholt"
"3284",15676,"Íbúðareign",62.9,0,1,1,180,"Grafarholt"
"3285",33855,"Íbúðareign",122.2,0,3,1,400,"Seltjarnarnes"
"3286",18379,"Íbúðareign",98.2,1,3,1,150,"Seljahverfi"
"3287",13033,"Íbúðareign",42.3,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3288",31493,"Íbúðareign",84.9,0,2,2,90,"Holt/Tún"
"3289",17593,"Íbúðareign",85.6,0,2,1,220,"Selás"
"3290",17459,"Íbúðareign",81.4,0,2,2,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3291",14350,"Íbúðareign",51.3,0,1,1,91,"Háaleiti/Skeifa"
"3292",19223,"Íbúðareign",69.4,0,3,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"3293",24001,"Íbúðareign",100.4,0,2,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3294",25146,"Íbúðareign",117.9,0,3,1,110,"Bryggjuhverfi"
"3295",42241,"Íbúðareign",226.1,0,4,2,100,"Laugarneshverfi/Vogar"
"3296",9537,"Íbúðareign",55,0,1,1,100,"Laugarneshverfi/Vogar"
"3297",18279,"Íbúðareign",56.6,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3298",19500,"Íbúðareign",58.2,0,1,1,70,"Melar: Að sjó"
"3299",25826,"Íbúðareign",85.4,0,2,1,90,"Holt/Tún"
"3300",48951,"Einbýlishús",178.2,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3301",23826,"Íbúðareign",91.8,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3302",4800,"Einbýlishús",64.7,0,2,1,3040,"Búðardalur"
"3303",38448,"Einbýlishús",180.5,0,5,1,6030,"Akureyri: Efri brekka"
"3304",18613,"Íbúðareign",76.4,0,2,1,6080,"Akureyri: Giljahverfi"
"3305",25186,"Íbúðareign",76.9,1,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3306",20681,"Íbúðareign",74.4,0,2,1,90,"Holt/Tún"
"3307",44720,"Íbúðareign",179.3,0,5,1,180,"Grafarholt"
"3308",41900,"Íbúðareign",129.9,2,4,1,270,"Norðlingaholt"
"3309",15721,"Íbúðareign",71.4,0,2,1,160,"Hólar, Berg"
"3310",16605,"Íbúðareign",64.7,0,1,1,100,"Laugarneshverfi/Vogar"
"3311",15145,"Einbýlishús",147,0,4,2,4110,"Ísaafjörður: Nýrri byggð"
"3312",71189,"Einbýlishús",194,0,3,2,520,"Garðabær: Ásar"
"3313",26423,"Íbúðareign",94.6,0,2,1,520,"Garðabær: Ásar"
"3314",31618,"Íbúðareign",125.4,0,4,2,600,"Hafnarfjörður"
"3315",27500,"Íbúðareign",86.8,0,2,1,510,"Garðabær: Sjáland"
"3316",24444,"Íbúðareign",88.1,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"3317",18482,"Íbúðareign",75.1,0,2,1,320,"Kópavogur: Austurbær"
"3318",29140,"Raðhús",114.4,0,3,1,320,"Kópavogur: Austurbær"
"3319",15500,"Íbúðareign",53.2,0,1,1,340,"Kópavogur: Lindir, Salir"
"3320",28112,"Íbúðareign",97.4,0,2,1,320,"Kópavogur: Austurbær"
"3321",14975,"Íbúðareign",115.1,0,3,1,6210,"Húsavík"
"3322",19844,"Parhús",120.7,0,4,1,7150,"Reyðarfjörður"
"3323",31852,"Íbúðareign",107.1,0,3,2,80,"Hlíðar"
"3324",21477,"Íbúðareign",88.3,0,3,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3325",21405,"Íbúðareign",88.2,0,2,1,100,"Laugarneshverfi/Vogar"
"3326",36979,"Íbúðareign",106.2,1,4,1,70,"Melar: Að sjó"
"3327",19887,"Íbúðareign",83.3,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3328",51155,"Raðhús",161,0,4,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3329",19149,"Íbúðareign",69.9,0,1,1,90,"Holt/Tún"
"3330",19972,"Íbúðareign",74.1,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3331",18799,"Íbúðareign",104.6,0,3,1,170,"Neðra-Breiðholt"
"3332",21556,"Íbúðareign",65.4,0,1,1,85,"Kringlan"
"3333",20018,"Íbúðareign",83.2,0,2,1,6010,"Akureyri: Naustahverfi"
